,lead_time,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,agent,company,adr,required_car_parking_spaces,total_of_special_requests
count,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0,119210.0
mean,3.843171599163525,3.1683758793401062,2.6223127815902316,0.9270530995721835,2.4991946984313396,1.8592064424125492,0.10404328495931549,0.007960741548527809,0.03149903531582921,0.08719067192349635,0.13709420350641724,2.9159789887180088,0.28015687509394527,4.482273460654766,0.06255347705729385,0.5715040684506333
std,1.6070959548046404,0.6639910478886417,0.7115653162227445,0.9951170272517019,1.8971057778114735,0.5751855797947552,0.39883554823326994,0.09750923565826806,0.17466282375100434,0.8449182636602167,1.498137181382348,1.8803705323486515,1.1605530597117673,0.717966513201747,0.24535956544782456,0.7928759003644849
min,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2.9444389791664403,2.833213344056216,2.197224577336219,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0794415416798357,0.0,4.255612709818223,0.0,0.0
50%,4.2484952420493585,3.3672958299864737,2.833213344056216,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.3025850929940455,0.0,4.563827222453709,0.0,0.0
75%,5.087596335232384,3.6635616461296463,3.1780538303479453,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,5.030437921392435,0.0,4.844187086458591,0.0,1.0
max,6.6039438246004725,3.988984046564274,3.4657359027997265,19.0,50.0,55.0,10.0,10.0,1.0,26.0,72.0,6.284134161070802,6.298949246855942,8.59433940059289,8.0,5.0
